Product,TotalQuantity,MA3,MA3_MSE,MA5,MA5_MSE,SES_0.3,SES_0.3_MSE,SES_0.5,SES_0.5_MSE,Holt,Holt_MSE,ARIMA,ARIMA_MSE
Simply Protein - Lemon Coconut,31,7,18.88888888888889,6,,6,39.07782525,6,36.98828125,13,110.11600624999998,,
Cheetos Baked - Crunchy Cheese,31,5,17.77777777777778,4,18.344,5,14.62197712040908,6,15.909242418077257,7,25.37877351017296,2,10.151527350880091
CheezIt - Go Paks,31,4,11.296296296296296,4,10.92,4,10.669648986620656,3,11.874427795410156,4,34.964582516177565,5,9.686202470229961
Keto Krisp - Almond Butter,30,0,6.277777777777779,0,9.046666666666667,2,15.289900028562354,1,13.607208251953125,0,54.48395759111612,2,12.074618703508875
Lindens - Chocolate Chippers,30,10,,,,9,93.78,9,112.5,26,364.5,,
Cheetos - Crunchy,29,7,24.583333333333332,4,16.419999999999998,6,22.006236768349996,7,21.302897135416668,5,93.53084709615234,6,18.782234845669706
Genius Keto Bar - Chocolate Dream,29,8,49.0,,,7,31.016966666666665,6,34.604166666666664,15,136.80749999999998,,
Cheetos Baked - Flaming Hot,29,4,15.086419753086423,3,18.022857142857145,3,22.43885735658286,3,20.674969499761406,4,67.71512946410033,3,18.62254744673207
Popchips Potato - Sea Salt,29,4,16.6984126984127,5,19.472,5,11.650978489600675,5,12.324023776584202,6,14.49024347318403,12,11.623853902881528
V8 Vegetable Juice - Original,28,0,5.407407407407408,1,4.08,2,8.51305544626585,1,7.328671281987971,0,8.140555370642094,2,6.583659611325794
Mini Chips Ahoy - Go Paks,27,3,13.555555555555554,5,,5,18.39571525,4,20.61328125,10,122.1719140625,,
Snyder's of Hanover Pretzel Pieces - Hot Buff,27,1,7.0,2,9.959999999999999,3,22.09193536822857,3,18.922433035714285,-1,105.58391315127267,1,20.838152265335918
Good Health Veggie Stix - Zesty Ranch,26,7,33.888888888888886,5,,5,30.723507250000004,6,29.14453125,9,30.82855624999999,,
Vitamin Water - Squeezed Lemonade,25,6,1.3888888888888884,5,,5,19.41246725,6,20.23828125,8,22.189389062500002,,
Starbucks Doubleshot Energy - Coffee,25,2,7.722222222222222,1,0.52,4,31.694364193683317,3,20.696126302083332,-2,53.10779993860026,1,11.2435898482918
Doritos Dinamita Chile Lemon,25,4,10.88888888888889,2,6.586666666666667,4,25.164471796546287,4,19.944754464285715,2,78.55321517633263,4,16.259434232892623
Pringles - Original,24,7,0.0,,,6,29.640533333333334,7,24.333333333333332,16,43.700833333333314,,
Ice Breakers Ice Cubes - PepperMint,24,3,7.955555555555556,3,8.453333333333333,3,5.107824844629143,3,5.587751116071429,2,11.111373366420144,3,4.555322398110773
Popchips Potato - Barbeque,23,3,16.714285714285715,3,18.088,4,13.162141640642053,6,14.582812839084202,7,23.035455773961807,2,12.61219734872412
Snyder's of Hanover Pretzel Pieces - Cheddar,22,5,0.5555555555555555,4,,5,6.759156000000001,5,8.3125,2,36.50140625,,
Snyder's of Hanover Pretzel - Cheddar Cheese,22,4,4.567901234567902,2,6.594285714285713,4,4.903086951611027,5,4.009523218328303,6,8.597242667698286,7,2.9807598669335875
Jack Links Beef Steak Original,22,3,7.462962962962963,1,4.43,3,10.104513441916977,3,9.878150939941406,3,24.914167321330464,3,9.776170509774497
Simply Protein - Peanut Butter Chocolate,22,4,2.7222222222222228,4,,5,1.8732040000000003,5,2.0,4,9.905951562499999,,
Red Bull - Energy Drink - Sugar Free,21,6,22.5,3,25.92,5,14.06869400235,5,14.46826171875,5,33.76773841880859,4,12.301859799244165
Pop Corners - Sweet & Salty Kettle,21,1,7.2666666666666675,1,4.839999999999999,2,10.437135115728568,2,11.365652901785714,1,14.022864359345439,3,10.867152627733487
Teddy Grahams - Go Paks,21,5,9.11111111111111,4,,5,15.812176000000001,5,16.0,10,30.144506249999996,,
Ruffles Baked  - Cheddar & Sour Cream,20,5,13.166666666666666,3,21.589999999999996,4,10.609557259233986,6,10.812477111816406,7,12.968845027117295,4,8.71273483545004
Autumns Granola Bar - Cinnamon Almond,19,0,7.37037037037037,1,6.299999999999999,2,4.558609313951135,2,4.876502990722656,1,6.39168098560815,3,4.513898222763423
Pure Organic Fruit Bar - Strawberry Banana,18,1,3.938271604938272,2,4.457142857142857,2,6.403693444357538,2,5.487899520180442,3,21.054423837032477,2,4.680105364287439
Bai Antioxidant - Zambia Bingcherry,18,2,3.6984126984126986,1,5.096,3,4.086640552426023,3,3.3392266167534723,4,4.039786330403639,5,2.6129488176559827
Vitamin Water - XXX Acai BB Pomegranate,17,4,11.416666666666666,3,3.9199999999999995,4,7.854296582483333,5,7.826334635416667,5,11.44718003594401,4,7.75835943677632
Munchies Snack mix Flaming Hot,16,3,9.88888888888889,2,14.146666666666667,3,9.396669382912714,4,9.722551618303571,4,20.58354163199157,2,7.3484086484982845
Simply Protein - Dark Chocolate Sea Salt,16,5,,,,6,2.1799999999999984,6,2.5,3,8.0,,
Skinny Pop Popcorn,15,5,,,,5,4.905,5,5.625,10,18.0,,
S. Pellegrino Essenza Mineral Water - Blood O,15,3,6.592592592592592,2,17.64,3,4.764512768000001,4,4.6625,6,6.977025003125,9,3.9765516818089295
Hersheys Milk Chocolate,15,5,,,,7,32.980000000000004,6,36.5,-6,112.5,,
Keto Krisp - Almond/Chocolate,15,2,0.11111111111111122,,,5,21.580966666666665,4,18.604166666666668,-5,67.74666666666666,,
Chum Fruit Bites - Mango/Strawberry,14,1,3.240740740740741,1,2.29,2,3.256842963451726,1,3.7048110961914062,1,11.558703797193616,0,1.9303747274118044
Bai Antioxidant - Kupang strawberry kiwi,14,1,4.7407407407407405,0,4.5200000000000005,2,7.003577247968419,2,7.98291015625,2,12.642884221276852,2,7.721227401696017
Hungry Buddha - Chocolate Chip,13,2,4.644444444444444,2,3.066666666666667,2,2.7225336323058573,2,2.8104422433035716,2,5.336249997489341,2,2.350445103055168
Popchips Potato - Sour Cream & Onion,13,2,26.5,2,,4,21.676740999999996,4,21.578125,-2,81.16605624999998,,
Ritz Bits Peanut Butter,13,3,13.444444444444443,,,4,5.3521333333333345,5,5.75,3,18.986666666666668,,
Bai Antioxidant - Molokai Coconut,12,1,5.777777777777779,2,,2,6.376435999999999,2,7.3125,5,39.1236,,
Lays Baked - Original,11,3,,,,4,8.705000000000002,5,10.625,1,32.0,,
Vitamin Water - Ice Cool Blue Lavender,11,1,2.8888888888888893,2,,2,1.489999999999999,2,1.25,1,1.1225,,
Monster Energy  Zero Ultra,10,2,1.7654320987654322,1,1.8685714285714288,2,1.8160522386820461,3,1.6000106117942117,4,3.9874455302708416,3,1.3636363636344628
Bai Lemonade - Burundi Blueberry,10,3,,,,3,12.625,4,12.625,11,32.0,,
Nature's Garden Trail Mix - Cranberry Healthy,9,0,1.462962962962963,0,1.0299999999999998,1,2.317836727300986,1,2.8335342407226562,1,4.081875433986683,1,1.7791012063692135
NuGo Dark Chocolate - Choc Chip,9,3,,,,3,4.905,3,5.625,8,18.0,,
Stretch Island Fruit Leathers Snacks - Variet,7,1,5.777777777777779,1,,2,3.091525,2,3.703125,2,4.1988140624999994,,
Orchard Bar - Variety,7,2,,,,3,3.2799999999999994,2,4.0,5,12.5,,
Keep Healthy - Chocolate Fudge,7,1,0.44444444444444453,1,,2,0.47847724999999997,2,0.55078125,3,2.06825625,,
Zevia Zero Calorie Energy - Mango Ginger,6,1,1.2,0,0.9866666666666665,1,1.0431093862829999,1,1.2342703683035714,1,2.7298216236294786,1,1.053786327224718
Hungry Buddha - Coconut Cocoa,6,1,1.4444444444444446,1,,2,0.9433372499999999,1,1.08203125,2,3.3170015625,,
Belvita Breakfast Biscuit Bites - Blueberry,6,1,1.7555555555555553,0,2.52,2,1.2861359534201429,2,1.2610560825892858,2,2.57447393296702,4,1.1428571428597836
NuGo Dark Chocolate - Pretzel Sea Salt,6,1,4.055555555555555,1,,2,2.556304,2,2.8125,0,10.2372640625,,
Keto Bar - Chocolate Dream,6,2,,,,3,1.9449999999999992,2,1.625,0,0.0,,
Bai Antioxidant - Brasilia BB,5,0,0.40740740740740744,0,0.28,1,0.9149784840246304,1,0.8171154369007457,1,2.8165908034472826,1,0.7229151303067777
BodyArmor LYTE  - Berry Punch,5,1,1.1604938271604939,0,1.2857142857142858,1,1.0177667261845234,2,1.023966442454945,2,1.6236011709960692,1,0.9694498467011979
Belvita Snack Bites - Cinnamon BS Go Paks,5,1,1.0,,,2,0.3333333333333333,2,0.3333333333333333,2,0.3333333333333333,,
Oberto Specialty Meats - Original,5,1,,,,2,5.944999999999999,3,6.625,2,12.5,,
Pure Organic Fruit Bar - Raspberry Lemonade,5,1,0.9444444444444444,1,,2,1.716909,1,1.828125,-1,6.578025,,
Bubly - Cherry,5,0,1.888888888888889,1,,2,1.66699725,2,1.61328125,0,3.055625,,
Zevia Organic Tea - Peach,4,1,4.555555555555555,0,,2,2.19743725,2,2.39453125,1,5.3766265625,,
Made in Nature - Mangoes Sweet & Tangy,4,1,1.1666666666666665,0,0.36,1,0.8918672224833334,1,1.0294596354166667,1,2.511637497923177,1,0.7757242464755558
Nature's Garden Trail Mix - Heart Healthy Mix,4,1,1.6111111111111114,0,,2,0.8978872500000001,2,0.92578125,1,3.416189062500001,,
Nature's Garden Trail Mix - Omega 3,4,1,4.555555555555555,0,,2,2.19743725,2,2.39453125,1,5.3766265625,,
Keep Healthy - Sea Salt Brownie,3,1,,,,1,0.0,1,0.0,1,0.0,,
Lays Baked - Barbecue,3,1,,,,2,1.3450000000000002,2,1.625,0,4.5,,
Belvita Snack Packs - Cinnamon,2,0,0.44444444444444453,,,1,0.5833666666666667,1,0.6041666666666666,0,2.174166666666667,,
